,Unnamed: 0,id,book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,goodreads_book_id
0,0,1,2767052,2767052,2792775,272,9780439023480.0,2008.0,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2767052
1,1,2,3,3,4640799,491,9780439554930.0,1997.0,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3
2,2,3,41865,41865,3212258,226,9780316015840.0,2005.0,3.57,3866839,3916824,95009,456191,436802,793319,875073,41865
3,3,4,2657,2657,3275794,487,9780061120080.0,1960.0,4.25,3198671,3340896,72586,60427,117415,446835,1001952,2657
4,4,5,4671,4671,245494,1356,9780743273560.0,1925.0,3.89,2683664,2773745,51992,86236,197621,606158,936012,4671
5,5,6,11870085,11870085,16827462,226,9780525478810.0,2012.0,4.26,2346404,2478609,140739,47994,92723,327550,698471,11870085
6,6,7,5907,5907,1540236,969,9780618260300.0,1937.0,4.25,2071616,2196809,37653,46023,76784,288649,665635,5907
7,7,8,5107,5107,3036731,360,9780316769170.0,1951.0,3.79,2044241,2120637,44920,109383,185520,455042,661516,5107
8,8,9,960,960,3338963,311,9781416524790.0,2000.0,3.85,2001311,2078754,25112,77841,145740,458429,716569,960
9,9,10,1885,1885,3060926,3455,9780679783270.0,1813.0,4.24,2035490,2191465,49152,54700,86485,284852,609755,1885
10,10,11,77203,77203,3295919,283,9781594480000.0,2003.0,4.26,1813044,1878095,59730,34288,59980,226062,628174,77203
11,11,12,13335037,13335037,13155899,210,9780062024040.0,2011.0,4.24,1903563,2216814,101023,36315,82870,310297,673028,13335037
12,12,13,5470,5470,153313,995,9780451524940.0,1949.0,4.14,1956832,2053394,45518,41845,86425,324874,692021,5470
13,13,14,7613,7613,2207778,896,9780452284240.0,1945.0,3.87,1881700,1982987,35472,66854,135147,433432,698642,7613
14,14,15,48855,48855,3532896,710,9780553296980.0,1947.0,4.1,1972666,2024493,20825,45225,91270,355756,656870,48855
15,15,16,2429135,2429135,1708725,274,9780307269750.0,2005.0,4.11,1808403,1929834,62543,54835,86051,285413,667485,2429135
16,16,17,6148028,6148028,6171458,201,9780439023500.0,2009.0,4.3,1831039,1988079,88538,10492,48030,262010,687238,6148028
17,17,18,5,5,2402163,376,9780439655480.0,1999.0,4.53,1832823,1969375,36099,6716,20413,166129,509447,5
18,18,19,34,34,3204327,566,9780618346260.0,1954.0,4.34,1766803,1832541,15333,38031,55862,202332,493922,34
19,19,20,7260188,7260188,8812783,239,9780439023510.0,2010.0,4.03,1719760,1870748,96274,30144,110498,373060,618271,7260188
20,20,21,2,2,2809203,307,9780439358070.0,2003.0,4.46,1735368,1840548,28685,9528,31577,180210,494427,2
21,21,22,12232938,12232938,1145090,183,9780316166680.0,2002.0,3.77,1605173,1661562,36642,62777,131188,404699,583575,12232938
22,22,23,15881,15881,6231171,398,9780439064870.0,1998.0,4.37,1779331,1906199,34172,8253,42251,242345,548266,15881
23,23,24,6,6,3046572,332,9780439139600.0,2000.0,4.53,1753043,1868642,31084,6676,20210,151785,494926,6
24,24,25,136251,136251,2963218,263,9780545010220.0,2007.0,4.61,1746574,1847395,51942,9363,22245,113646,383914,136251
25,25,26,968,968,2982101,350,9780307277670.0,2003.0,3.79,1447148,1557292,41560,71345,126493,340790,539277,968
26,26,27,1,1,41335427,275,9780439785970.0,2005.0,4.54,1678823,1785676,27520,7308,21516,136333,459028,1
27,27,28,7624,7624,2766512,458,9780140283330.0,1954.0,3.64,1605019,1671484,26886,92779,160295,425648,564916,7624
28,28,29,18135,18135,3349450,1937,9780743477120.0,1595.0,3.73,1628519,1672889,14778,57980,153179,452673,519822,18135
29,29,30,8442457,19288043,13306276,196,9780297859380.0,2012.0,4.03,512475,1626519,121614,38874,80807,280331,616031,8442457
30,30,31,4667024,4667024,4717423,183,9780399155340.0,2009.0,4.45,1531753,1603545,78204,10235,25117,134887,490754,4667024
31,31,32,890,890,40283,373,9780142000670.0,1937.0,3.84,1467496,1518741,24642,46630,110856,355169,532291,890
32,32,33,930,929,1558965,220,9780739326220.0,1997.0,4.08,1300209,1418172,25605,23500,59033,258700,517157,930
33,33,34,10818853,10818853,15732562,169,9781612130290.0,2011.0,3.67,1338493,1436818,75437,165455,152293,252185,294976,10818853
34,34,35,865,865,4835472,458,9780061122420.0,1988.0,3.82,1299566,1403995,55781,74846,123614,289143,412180,865
35,35,36,3636,3636,2543234,192,9780385732550.0,1993.0,4.12,1296825,1345445,54084,26497,59652,225326,448691,3636
36,36,37,100915,100915,4790821,474,9780060764890.0,1950.0,4.19,1531800,1584884,15186,19309,55542,262038,513366,100915
37,37,38,14050,18619684,2153746,167,9780965818670.0,2003.0,3.95,746287,1308667,43382,44339,85429,257805,427210,14050
38,38,39,13496,13496,1466917,101,9780553588480.0,1996.0,4.45,1319204,1442220,46205,19988,28983,114092,404583,13496
39,39,40,19501,19501,3352398,185,9780143038410.0,2006.0,3.51,1181647,1206597,49714,100373,149549,310212,332191,19501
40,40,41,28187,28187,3346751,159,9780786838650.0,2005.0,4.23,1366265,1411114,46006,18303,48294,219638,435514,28187
41,41,42,1934,1934,3244642,1707,9780451529300.0,1868.0,4.04,1257121,1314293,17090,31645,70011,250794,426280,1934
42,42,43,10210,10210,2977639,2568,9780142437210.0,1847.0,4.1,1198557,1286135,31212,35132,64274,212294,400214,10210
43,43,44,15931,15931,1498135,190,9780553816720.0,1996.0,4.06,1053403,1076749,17279,41395,63432,176469,298259,15931
44,44,45,4214,4214,1392700,264,9780770430080.0,2001.0,3.88,1003228,1077431,42962,39768,74331,218702,384164,4214
45,45,46,43641,43641,3441236,128,9781565125600.0,2006.0,4.07,1068146,1108839,55732,16705,49832,200154,417328,43641
46,46,47,19063,19063,878368,251,9780375831000.0,2005.0,4.36,1159741,1287798,93611,17892,35360,135272,377218,19063
47,47,48,4381,4381,1272463,507,9780307347980.0,1953.0,3.97,570498,1176240,30694,28366,64289,238242,426292,4381
48,48,49,49041,49041,3203964,194,9780316160190.0,2006.0,3.52,1149630,1199000,44020,102837,160660,294207,290612,49041
49,49,50,30119,30119,30518,45,9780060513030.0,1974.0,4.29,1016888,1023781,9234,16590,30792,139024,293222,30119
50,50,51,256683,256683,2267189,178,9781416914280.0,2007.0,4.12,1154031,1241799,51589,34122,65349,203466,356048,256683
51,51,52,428263,428263,2675454,185,9780316160210.0,2007.0,3.69,1134511,1176642,35216,83094,124293,260763,309358,428263
52,52,53,113436,113436,3178011,217,9780375826700.0,2002.0,3.86,1104021,1125231,18280,50563,88536,240157,337943,113436
53,53,54,11,386162,3078186,257,9780345391800.0,1979.0,4.2,936782,1006479,20345,21764,41962,145173,299579,11
54,54,55,5129,5129,3204877,515,9780060929880.0,1932.0,3.97,1022601,1079135,20095,26367,60328,219895,389379,5129
55,55,56,1162543,1162543,2960529,183,9780316067930.0,2008.0,3.7,1070245,1107709,44550,100994,114893,213402,267706,1162543
56,56,57,37435,37435,3275013,125,9780142001740.0,2001.0,4.01,916189,937393,26522,17500,45455,185631,347540,37435
57,57,58,2956,2956,1835605,2277,9780142437180.0,1884.0,3.8,953758,1001491,12448,28467,76630,255722,344356,2956
58,58,59,24178,24178,987048,180,9780064410940.0,1952.0,4.15,1064521,1084842,13044,18450,41124,191415,346090,24178
59,59,60,1618,1618,4259809,183,9781400032720.0,2003.0,3.85,867553,915790,35796,21049,58117,218218,355925,1618
60,60,61,22557272,22557272,41107568,14,9781594633670.0,2015.0,3.88,1008778,1226485,93600,27773,73897,273817,488447,22557272
61,61,62,119322,119322,1536771,287,9780679879240.0,1995.0,3.94,953970,994914,14915,38382,64591,198764,313147,119322
