,Type,Viewership Score,Days In Top 10
0,TV Show,90,9
1,TV Show,45,5
2,TV Show,76,9
3,Movie,30,5
4,Movie,55,9
5,TV Show,14,4
6,TV Show,5,2
7,TV Show,40,9
8,Movie,11,4
9,Movie,15,4
10,TV Show,100,10
11,TV Show,54,6
12,TV Show,84,10
13,TV Show,7,1
14,TV Show,6,1
15,Movie,35,6
16,Movie,4,1
17,TV Show,8,3
18,Movie,57,10
19,TV Show,15,5
20,TV Show,110,11
21,TV Show,63,7
22,TV Show,92,11
23,TV Show,13,2
24,TV Show,13,2
25,Movie,9,2
26,TV Show,12,4
27,Movie,3,1
28,Movie,2,1
29,Movie,36,7
30,TV Show,120,12
31,TV Show,72,8
32,TV Show,8,1
33,TV Show,99,12
34,Movie,6,1
35,TV Show,18,3
36,Movie,13,3
37,TV Show,16,3
38,TV Show,14,5
39,Movie,4,2
40,TV Show,130,13
41,TV Show,81,9
42,Movie,14,2
43,TV Show,15,2
44,TV Show,105,13
45,TV Show,23,4
46,TV Show,20,4
47,Movie,16,4
48,Movie,2,1
49,TV Show,15,6
50,TV Show,140,14
51,TV Show,90,10
52,Movie,22,3
53,Movie,9,2
54,TV Show,21,3
55,TV Show,110,14
56,TV Show,27,5
57,TV Show,23,5
58,Movie,18,5
59,Movie,1,1
60,TV Show,150,15
61,TV Show,99,11
62,Movie,30,4
63,Movie,16,3
64,TV Show,27,4
65,TV Show,115,15
66,TV Show,4,1
67,TV Show,26,6
68,TV Show,29,6
69,TV Show,1,1
70,TV Show,160,16
71,TV Show,108,12
72,Movie,38,5
73,TV Show,11,2
74,Movie,22,4
75,TV Show,32,5
76,TV Show,119,16
77,TV Show,4,2
78,TV Show,28,7
79,Movie,2,2
80,TV Show,170,17
81,TV Show,117,13
82,TV Show,19,3
83,Movie,29,5
84,Movie,44,6
85,TV Show,37,6
86,TV Show,123,17
87,TV Show,7,3
88,TV Show,30,8
89,Movie,3,3
90,TV Show,180,18
91,TV Show,126,14
92,TV Show,27,4
93,Movie,36,6
94,TV Show,43,7
95,TV Show,128,18
96,Movie,48,7
97,TV Show,10,4
98,TV Show,32,9
99,TV Show,1,1
100,TV Show,190,19
101,TV Show,135,15
102,Movie,44,7
103,TV Show,34,5
104,TV Show,49,8
105,Movie,5,1
106,TV Show,132,19
107,Movie,51,8
108,TV Show,12,5
109,TV Show,33,10
110,TV Show,200,20
111,TV Show,144,16
112,Movie,13,2
113,Movie,51,8
114,TV Show,40,6
115,TV Show,54,9
116,Movie,4,1
117,TV Show,135,20
118,TV Show,14,6
119,TV Show,2,2
120,TV Show,210,21
121,Movie,13,2
122,TV Show,152,17
123,Movie,58,9
124,Movie,19,3
125,TV Show,59,10
126,Movie,4,1
127,TV Show,43,7
128,TV Show,137,21
129,Movie,1,1
130,TV Show,220,22
131,TV Show,161,18
132,Movie,21,3
133,TV Show,66,11
134,TV Show,143,22
135,Movie,24,4
136,TV Show,47,8
137,Movie,4,2
138,Movie,60,10
139,TV Show,15,7
140,TV Show,230,23
141,TV Show,170,19
142,Movie,29,4
143,Stand-Up Comedy,7,1
144,TV Show,72,12
145,TV Show,148,23
146,TV Show,51,9
147,Movie,27,5
148,Movie,6,3
149,Movie,61,11
150,TV Show,240,24
151,TV Show,179,20
152,Movie,37,5
153,Stand-Up Comedy,14,2
154,TV Show,6,1
155,TV Show,5,1
156,TV Show,152,24
157,TV Show,75,13
158,TV Show,53,10
159,Movie,62,12
160,Movie,10,1
161,TV Show,249,25
162,TV Show,13,2
163,TV Show,186,21
164,TV Show,12,2
165,Movie,42,6
166,TV Show,156,25
167,TV Show,78,14
168,Stand-Up Comedy,16,3
169,TV Show,54,11
170,Movie,20,2
171,TV Show,258,26
172,TV Show,21,3
173,TV Show,193,22
174,TV Show,6,1
175,TV Show,5,1
176,Movie,46,7
177,TV Show,15,3
178,TV Show,158,26
179,TV Show,79,15
180,Movie,30,3
181,TV Show,15,2
182,TV Show,266,27
183,TV Show,28,4
184,TV Show,11,2
185,TV Show,198,23
